Zone,Vegetation,Year,Date,Species,Length,Dominant_age_group,Latitude,Longitude
2,Eelgrass,2008,8/18/2008,Chinook_salmon,87,Yes,48.33233,-122.52127
1,Eelgrass,2008,8/18/2008,Chinook_salmon,92,Yes,48.37636,-122.55731
2,Eelgrass,2008,8/18/2008,Chinook_salmon,95,Yes,48.33233,-122.52127
3,Eelgrass,2008,8/18/2008,Chinook_salmon,100,Yes,48.32771,-122.50257
1,Eelgrass,2008,8/18/2008,Chinook_salmon,100,Yes,48.37634,-122.55409
2,Eelgrass,2008,8/18/2008,Chinook_salmon,101,Yes,48.33233,-122.52127
2,Eelgrass,2008,8/18/2008,Chinook_salmon,101,Yes,48.33233,-122.52127
3,Eelgrass,2008,8/18/2008,Chinook_salmon,102,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Chinook_salmon,106,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Chinook_salmon,112,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Chinook_salmon,120,Yes,48.32771,-122.50257
2,Eelgrass,2008,8/18/2008,Chinook_salmon,132,Yes,48.33233,-122.52127
2,Eelgrass,2008,8/18/2008,Chinook_salmon,148,Yes,48.33233,-122.52127
2,Eelgrass,2008,8/19/2008,Chinook_salmon,94,Yes,48.33512,-122.5183
2,Eelgrass,2008,8/19/2008,Chinook_salmon,104,Yes,48.33512,-122.5183
2,Eelgrass,2008,8/19/2008,Chinook_salmon,115,Yes,48.33512,-122.5183
3,Eelgrass,2008,9/15/2008,Chinook_salmon,108,Yes,48.31278,-122.48617
3,Eelgrass,2008,9/16/2008,Chinook_salmon,108,Yes,48.32099,-122.4946
3,Eelgrass,2008,9/16/2008,Chinook_salmon,115,Yes,48.32099,-122.4946
2,Eelgrass,2008,9/16/2008,Chinook_salmon,123,Yes,48.3335,-122.509
3,Eelgrass,2008,9/16/2008,Chinook_salmon,139,Yes,48.32099,-122.4946
3,Eelgrass,2008,9/16/2008,Chinook_salmon,145,Yes,48.32099,-122.4946
1,Eelgrass,2009,4/21/2009,Chinook_salmon,132,No,48.37513,-122.55058
4,Eelgrass,2009,5/18/2009,Chinook_salmon,84,No,48.3046,-122.47813
4,Unvegetated,2009,5/18/2009,Chinook_salmon,92,No,48.30786,-122.47592
3,Eelgrass,2009,5/18/2009,Chinook_salmon,104,No,48.31647,-122.49007
3,Eelgrass,2009,5/18/2009,Chinook_salmon,115,No,48.31647,-122.49007
3,Eelgrass,2009,5/19/2009,Chinook_salmon,84,No,48.32641,-122.49957
3,Unvegetated,2009,5/19/2009,Chinook_salmon,86,No,48.33118,-122.49009
3,Unvegetated,2009,5/19/2009,Chinook_salmon,93,No,48.32383,-122.46814
4,Eelgrass,2009,5/19/2009,Chinook_salmon,102,No,48.28427,-122.47908
4,Eelgrass,2009,5/19/2009,Chinook_salmon,150,No,48.29288,-122.47571
2,Eelgrass,2009,6/15/2009,Chinook_salmon,67,Yes,48.33655,-122.50562
1,Eelgrass,2009,6/15/2009,Chinook_salmon,69,Yes,48.37581,-122.55362
1,Eelgrass,2009,6/15/2009,Chinook_salmon,71,Yes,48.37581,-122.55362
1,Eelgrass,2009,6/15/2009,Chinook_salmon,72,Yes,48.37581,-122.55362
4,Eelgrass,2009,6/15/2009,Chinook_salmon,78,Yes,48.30475,-122.47803
2,Eelgrass,2009,6/15/2009,Chinook_salmon,79,Yes,48.33019,-122.51094
1,Eelgrass,2009,6/15/2009,Chinook_salmon,84,Yes,48.37581,-122.55362
4,Eelgrass,2009,6/16/2009,Chinook_salmon,81,Yes,48.30139,-122.46304
2,Eelgrass,2009,6/16/2009,Chinook_salmon,84,Yes,48.33572,-122.51754
4,Eelgrass,2009,6/16/2009,Chinook_salmon,90,Yes,48.30139,-122.46304
1,Eelgrass,2009,7/13/2009,Chinook_salmon,92,Yes,48.37328813,-122.5539932
1,Eelgrass,2009,7/13/2009,Chinook_salmon,108,Yes,48.37328813,-122.5539932
1,Eelgrass,2009,7/14/2009,Chinook_salmon,86,Yes,48.37442966,-122.552218
3,Eelgrass,2009,7/14/2009,Chinook_salmon,95,Yes,48.32416364,-122.4962955
3,Eelgrass,2009,7/14/2009,Chinook_salmon,96,Yes,48.32416364,-122.4962955
4,Eelgrass,2009,8/10/2009,Chinook_salmon,90,Yes,48.3046,-122.47805
2,Eelgrass,2009,8/10/2009,Chinook_salmon,98,Yes,48.33637,-122.52291
2,Eelgrass,2009,8/10/2009,Chinook_salmon,99,Yes,48.33637,-122.52291
2,Eelgrass,2009,8/10/2009,Chinook_salmon,100,Yes,48.33637,-122.52291
2,Eelgrass,2009,8/10/2009,Chinook_salmon,100,Yes,48.33637,-122.52291
3,Unvegetated,2009,8/10/2009,Chinook_salmon,100,Yes,48.32683,-122.48013
2,Unvegetated,2009,8/10/2009,Chinook_salmon,101,Yes,48.34743,-122.54203
2,Eelgrass,2009,8/10/2009,Chinook_salmon,106,Yes,48.33637,-122.52291
2,Eelgrass,2009,8/10/2009,Chinook_salmon,111,Yes,48.33637,-122.52291
4,Eelgrass,2009,8/10/2009,Chinook_salmon,113,Yes,48.3046,-122.47805
2,Unvegetated,2009,8/11/2009,Chinook_salmon,90,Yes,48.34511,-122.53804
3,Eelgrass,2009,8/11/2009,Chinook_salmon,91,Yes,48.31255,-122.48505
2,Unvegetated,2009,8/11/2009,Chinook_salmon,92,Yes,48.34511,-122.53804
2,Unvegetated,2009,8/11/2009,Chinook_salmon,94,Yes,48.34511,-122.53804
1,Eelgrass,2009,8/11/2009,Chinook_salmon,94,Yes,48.37157,-122.55338
4,Eelgrass,2009,8/11/2009,Chinook_salmon,97,Yes,48.28424,-122.47912
2,Unvegetated,2009,8/11/2009,Chinook_salmon,103,Yes,48.34511,-122.53804
4,Eelgrass,2009,8/11/2009,Chinook_salmon,110,Yes,48.28424,-122.47912
2,Unvegetated,2009,8/11/2009,Chinook_salmon,113,Yes,48.34511,-122.53804
2,Eelgrass,2009,9/22/2009,Chinook_salmon,125,Yes,48.33173,-122.51487
4,Eelgrass,2009,9/22/2009,Chinook_salmon,144,Yes,48.30466,-122.47787
3,Eelgrass,2009,9/22/2009,Chinook_salmon,150,Yes,48.31588,-122.48
3,Unvegetated,2009,9/22/2009,Chinook_salmon,152,Yes,48.3317,-122.49818
1,Eelgrass,2009,9/23/2009,Chinook_salmon,111,Yes,48.37081,-122.55239
2,Unvegetated,2009,9/23/2009,Chinook_salmon,133,Yes,48.3452,-122.53786
2,Unvegetated,2009,9/23/2009,Chinook_salmon,142,Yes,48.3452,-122.53786
2,Unvegetated,2010,5/11/2010,Chinook_salmon,65,No,48.34256,-122.53407
2,Unvegetated,2010,5/11/2010,Chinook_salmon,68,No,48.34256,-122.53407
2,Unvegetated,2010,5/11/2010,Chinook_salmon,77,No,48.34256,-122.53407
2,Unvegetated,2010,5/11/2010,Chinook_salmon,82,No,48.34256,-122.53407
2,Unvegetated,2010,5/11/2010,Chinook_salmon,83,No,48.34256,-122.53407
2,Unvegetated,2010,5/11/2010,Chinook_salmon,88,No,48.34256,-122.53407
2,Unvegetated,2010,5/11/2010,Chinook_salmon,103,No,48.34256,-122.53407
2,Unvegetated,2010,5/11/2010,Chinook_salmon,110,No,48.34761,-122.54233
3,Eelgrass,2010,5/11/2010,Chinook_salmon,121,No,48.31555,-122.4804
3,Eelgrass,2010,6/8/2010,Chinook_salmon,63,Yes,48.3218,-122.49437
4,Eelgrass,2010,6/8/2010,Chinook_salmon,70,Yes,48.27687,-122.48784
2,Unvegetated,2010,6/8/2010,Chinook_salmon,129,No,48.33935,-122.5305
2,Eelgrass,2010,6/9/2010,Chinook_salmon,63,Yes,48.33189,-122.5148
2,Unvegetated,2010,6/9/2010,Chinook_salmon,64,Yes,48.34834,-122.54342
3,Eelgrass,2010,6/9/2010,Chinook_salmon,68,Yes,48.32379,-122.49937
2,Eelgrass,2010,6/9/2010,Chinook_salmon,70,Yes,48.33189,-122.5148
2,Eelgrass,2010,6/9/2010,Chinook_salmon,70,Yes,48.3341,-122.51836
2,Eelgrass,2010,6/9/2010,Chinook_salmon,72,Yes,48.3341,-122.51836
2,Eelgrass,2010,6/9/2010,Chinook_salmon,73,Yes,48.33602,-122.52597
2,Eelgrass,2010,6/9/2010,Chinook_salmon,75,Yes,48.3341,-122.51836
3,Eelgrass,2010,6/9/2010,Chinook_salmon,75,Yes,48.32379,-122.49937
2,Eelgrass,2010,6/9/2010,Chinook_salmon,78,Yes,48.3341,-122.51836
3,Eelgrass,2010,6/9/2010,Chinook_salmon,80,Yes,48.32379,-122.49937
3,Eelgrass,2010,6/9/2010,Chinook_salmon,83,Yes,48.32379,-122.49937
2,Unvegetated,2010,6/9/2010,Chinook_salmon,84,Yes,48.34195,-122.53305
3,Eelgrass,2010,6/9/2010,Chinook_salmon,87,Yes,48.32379,-122.49937
4,Eelgrass,2010,7/19/2010,Chinook_salmon,92,Yes,48.2794,-122.48166
4,Eelgrass,2010,7/19/2010,Chinook_salmon,94,Yes,48.2794,-122.48166
1,Eelgrass,2010,7/20/2010,Chinook_salmon,88,Yes,48.38194,-122.54963
4,Eelgrass,2010,7/20/2010,Chinook_salmon,96,Yes,48.28457,-122.48131
4,Eelgrass,2010,7/20/2010,Chinook_salmon,103,Yes,48.29294,-122.47613
4,Eelgrass,2010,7/20/2010,Chinook_salmon,113,Yes,48.3046,-122.47805
1,Eelgrass,2010,8/16/2010,Chinook_salmon,96,Yes,48.37417,-122.55582
3,Eelgrass,2010,8/16/2010,Chinook_salmon,98,Yes,48.31678,-122.48246
1,Eelgrass,2010,8/16/2010,Chinook_salmon,101,Yes,48.37417,-122.55582
1,Eelgrass,2010,8/17/2010,Chinook_salmon,102,Yes,48.37402,-122.55211
3,Eelgrass,2010,9/15/2010,Chinook_salmon,125,Yes,48.31571,-122.48058
1,Eelgrass,2008,5/27/2008,Pacific_herring,131,No,48.37636,-122.55731
1,Eelgrass,2008,5/27/2008,Pacific_herring,134,No,48.37636,-122.55731
1,Eelgrass,2008,5/27/2008,Pacific_herring,161,No,48.37636,-122.55731
4,Eelgrass,2008,5/28/2008,Pacific_herring,157,No,48.2844,-122.47716
1,Eelgrass,2008,6/26/2008,Pacific_herring,56,No,48.3743,-122.54983
4,Eelgrass,2008,7/14/2008,Pacific_herring,52,Yes,48.29632,-122.45766
3,Eelgrass,2008,7/14/2008,Pacific_herring,62,Yes,48.31433,-122.48329
4,Eelgrass,2008,7/14/2008,Pacific_herring,66,Yes,48.29408,-122.47798
1,Eelgrass,2008,7/14/2008,Pacific_herring,75,Yes,48.37636,-122.55731
4,Eelgrass,2008,7/14/2008,Pacific_herring,76,Yes,48.29408,-122.47798
1,Eelgrass,2008,7/15/2008,Pacific_herring,58,Yes,48.37638,-122.5559
1,Eelgrass,2008,7/15/2008,Pacific_herring,62,Yes,48.37638,-122.5559
1,Eelgrass,2008,7/15/2008,Pacific_herring,70,Yes,48.3743,-122.54983
1,Eelgrass,2008,7/15/2008,Pacific_herring,71,Yes,48.37638,-122.5559
1,Eelgrass,2008,7/15/2008,Pacific_herring,72,Yes,48.37638,-122.5559
1,Eelgrass,2008,7/15/2008,Pacific_herring,73,Yes,48.37638,-122.5559
2,Eelgrass,2008,7/15/2008,Pacific_herring,73,Yes,48.3335,-122.509
2,Eelgrass,2008,7/15/2008,Pacific_herring,73,Yes,48.3335,-122.509
3,Eelgrass,2008,7/15/2008,Pacific_herring,75,Yes,48.32099,-122.4946
1,Eelgrass,2008,7/15/2008,Pacific_herring,75,Yes,48.37638,-122.5559
1,Eelgrass,2008,7/15/2008,Pacific_herring,76,Yes,48.37638,-122.5559
3,Eelgrass,2008,7/15/2008,Pacific_herring,77,Yes,48.32588,-122.50449
3,Eelgrass,2008,7/15/2008,Pacific_herring,77,Yes,48.32099,-122.4946
1,Eelgrass,2008,7/15/2008,Pacific_herring,78,Yes,48.37638,-122.5559
3,Eelgrass,2008,7/15/2008,Pacific_herring,79,Yes,48.32099,-122.4946
1,Eelgrass,2008,7/15/2008,Pacific_herring,79,Yes,48.37638,-122.5559
2,Eelgrass,2008,7/15/2008,Pacific_herring,80,Yes,48.3335,-122.509
3,Eelgrass,2008,7/15/2008,Pacific_herring,81,Yes,48.32588,-122.50449
1,Eelgrass,2008,7/15/2008,Pacific_herring,82,Yes,48.37638,-122.5559
2,Eelgrass,2008,7/15/2008,Pacific_herring,82,Yes,48.3335,-122.509
3,Eelgrass,2008,7/15/2008,Pacific_herring,83,Yes,48.32099,-122.4946
3,Eelgrass,2008,7/15/2008,Pacific_herring,83,Yes,48.32099,-122.4946
2,Eelgrass,2008,7/15/2008,Pacific_herring,85,Yes,48.3335,-122.509
1,Eelgrass,2008,7/15/2008,Pacific_herring,86,Yes,48.3743,-122.54983
1,Eelgrass,2008,8/18/2008,Pacific_herring,61,Yes,48.37634,-122.55409
1,Eelgrass,2008,8/18/2008,Pacific_herring,65,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,67,Yes,48.37634,-122.55409
1,Eelgrass,2008,8/18/2008,Pacific_herring,67,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,67,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,68,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,68,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,68,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,69,Yes,48.37634,-122.55409
1,Eelgrass,2008,8/18/2008,Pacific_herring,69,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,69,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,69,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,69,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,70,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,70,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,70,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,70,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,70,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,70,Yes,48.37634,-122.55409
1,Eelgrass,2008,8/18/2008,Pacific_herring,71,Yes,48.37634,-122.55409
1,Eelgrass,2008,8/18/2008,Pacific_herring,71,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,71,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,71,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,71,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,71,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,71,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,71,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,71,Yes,48.37636,-122.55731
3,Eelgrass,2008,8/18/2008,Pacific_herring,71,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Pacific_herring,71,Yes,48.32771,-122.50257
1,Eelgrass,2008,8/18/2008,Pacific_herring,72,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,72,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,72,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,72,Yes,48.37636,-122.55731
3,Eelgrass,2008,8/18/2008,Pacific_herring,72,Yes,48.32771,-122.50257
1,Eelgrass,2008,8/18/2008,Pacific_herring,73,Yes,48.37634,-122.55409
1,Eelgrass,2008,8/18/2008,Pacific_herring,73,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,73,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,73,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,73,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,73,Yes,48.37636,-122.55731
3,Eelgrass,2008,8/18/2008,Pacific_herring,73,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Pacific_herring,73,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Pacific_herring,73,Yes,48.32771,-122.50257
1,Eelgrass,2008,8/18/2008,Pacific_herring,74,Yes,48.37634,-122.55409
1,Eelgrass,2008,8/18/2008,Pacific_herring,74,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,74,Yes,48.37638,-122.5559
3,Eelgrass,2008,8/18/2008,Pacific_herring,74,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Pacific_herring,74,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Pacific_herring,74,Yes,48.32771,-122.50257
1,Eelgrass,2008,8/18/2008,Pacific_herring,75,Yes,48.37634,-122.55409
1,Eelgrass,2008,8/18/2008,Pacific_herring,75,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,75,Yes,48.37638,-122.5559
3,Eelgrass,2008,8/18/2008,Pacific_herring,75,Yes,48.32771,-122.50257
1,Eelgrass,2008,8/18/2008,Pacific_herring,76,Yes,48.37634,-122.55409
1,Eelgrass,2008,8/18/2008,Pacific_herring,76,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,76,Yes,48.37636,-122.55731
3,Eelgrass,2008,8/18/2008,Pacific_herring,76,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Pacific_herring,76,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Pacific_herring,76,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Pacific_herring,76,Yes,48.32771,-122.50257
1,Eelgrass,2008,8/18/2008,Pacific_herring,77,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,78,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,78,Yes,48.37638,-122.5559
3,Eelgrass,2008,8/18/2008,Pacific_herring,78,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Pacific_herring,78,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Pacific_herring,78,Yes,48.32099,-122.4946
1,Eelgrass,2008,8/18/2008,Pacific_herring,79,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,79,Yes,48.37634,-122.55409
1,Eelgrass,2008,8/18/2008,Pacific_herring,82,Yes,48.37634,-122.55409
3,Eelgrass,2008,8/18/2008,Pacific_herring,84,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Pacific_herring,86,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Pacific_herring,87,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Pacific_herring,89,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Pacific_herring,90,Yes,48.32771,-122.50257
3,Eelgrass,2008,8/18/2008,Pacific_herring,92,Yes,48.32771,-122.50257
1,Eelgrass,2008,8/18/2008,Pacific_herring,94,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,94,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,94,Yes,48.37638,-122.5559
3,Eelgrass,2008,8/18/2008,Pacific_herring,95,Yes,48.32771,-122.50257
1,Eelgrass,2008,8/18/2008,Pacific_herring,96,Yes,48.37636,-122.55731
3,Eelgrass,2008,8/18/2008,Pacific_herring,96,Yes,48.32771,-122.50257
1,Eelgrass,2008,8/18/2008,Pacific_herring,97,Yes,48.37636,-122.55731
1,Eelgrass,2008,8/18/2008,Pacific_herring,98,Yes,48.37634,-122.55409
1,Eelgrass,2008,8/18/2008,Pacific_herring,99,Yes,48.37634,-122.55409
1,Eelgrass,2008,8/18/2008,Pacific_herring,99,Yes,48.37638,-122.5559
1,Eelgrass,2008,8/18/2008,Pacific_herring,100,Yes,48.37638,-122.5559
3,Eelgrass,2008,8/18/2008,Pacific_herring,100,Yes,48.32771,-122.50257
1,Eelgrass,2008,8/18/2008,Pacific_herring,103,Yes,48.37638,-122.5559
4,Eelgrass,2008,8/19/2008,Pacific_herring,68,Yes,48.29408,-122.47798
2,Eelgrass,2008,8/19/2008,Pacific_herring,71,Yes,48.335,-122.507
4,Eelgrass,2008,8/19/2008,Pacific_herring,74,Yes,48.29408,-122.47798
2,Eelgrass,2008,8/19/2008,Pacific_herring,76,Yes,48.335,-122.507
2,Eelgrass,2008,8/19/2008,Pacific_herring,76,Yes,48.335,-122.507
4,Eelgrass,2008,8/19/2008,Pacific_herring,77,Yes,48.29408,-122.47798
4,Eelgrass,2008,8/19/2008,Pacific_herring,77,Yes,48.29408,-122.47798
2,Eelgrass,2008,8/19/2008,Pacific_herring,79,Yes,48.335,-122.507
4,Eelgrass,2008,8/19/2008,Pacific_herring,79,Yes,48.29408,-122.47798
4,Eelgrass,2008,8/19/2008,Pacific_herring,80,Yes,48.29408,-122.47798
2,Eelgrass,2008,8/19/2008,Pacific_herring,81,Yes,48.335,-122.507
3,Eelgrass,2008,8/19/2008,Pacific_herring,81,Yes,48.32588,-122.50449
4,Eelgrass,2008,8/19/2008,Pacific_herring,81,Yes,48.29408,-122.47798
4,Eelgrass,2008,8/19/2008,Pacific_herring,81,Yes,48.29408,-122.47798
2,Eelgrass,2008,8/19/2008,Pacific_herring,82,Yes,48.335,-122.507
2,Eelgrass,2008,8/19/2008,Pacific_herring,83,Yes,48.335,-122.507
2,Eelgrass,2008,8/19/2008,Pacific_herring,85,Yes,48.335,-122.507
3,Eelgrass,2008,8/19/2008,Pacific_herring,87,Yes,48.32588,-122.50449
2,Eelgrass,2008,8/19/2008,Pacific_herring,91,Yes,48.335,-122.507
4,Eelgrass,2008,8/19/2008,Pacific_herring,91,Yes,48.29408,-122.47798
2,Eelgrass,2008,8/19/2008,Pacific_herring,94,Yes,48.335,-122.507
4,Eelgrass,2008,8/19/2008,Pacific_herring,94,Yes,48.29408,-122.47798
4,Eelgrass,2008,8/19/2008,Pacific_herring,94,Yes,48.29408,-122.47798
4,Eelgrass,2008,8/19/2008,Pacific_herring,94,Yes,48.29408,-122.47798
4,Eelgrass,2008,8/19/2008,Pacific_herring,94,Yes,48.2844,-122.47716
4,Eelgrass,2008,8/19/2008,Pacific_herring,94,Yes,48.2844,-122.47716
4,Eelgrass,2008,8/19/2008,Pacific_herring,95,Yes,48.29408,-122.47798
4,Eelgrass,2008,8/19/2008,Pacific_herring,96,Yes,48.29408,-122.47798
3,Eelgrass,2008,8/19/2008,Pacific_herring,96,Yes,48.32588,-122.50449
4,Eelgrass,2008,8/19/2008,Pacific_herring,96,Yes,48.29408,-122.47798
2,Eelgrass,2008,8/19/2008,Pacific_herring,98,Yes,48.335,-122.507
2,Eelgrass,2008,8/19/2008,Pacific_herring,98,Yes,48.3335,-122.509
2,Eelgrass,2008,8/19/2008,Pacific_herring,98,Yes,48.3335,-122.509
2,Eelgrass,2008,8/19/2008,Pacific_herring,100,Yes,48.3335,-122.509
2,Eelgrass,2008,8/19/2008,Pacific_herring,101,Yes,48.3335,-122.509
4,Eelgrass,2008,8/19/2008,Pacific_herring,102,Yes,48.29408,-122.47798
